lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2015,emaitza,aldeko_botoak,aurkako_botoak,boto_txuriak,biztanleria2016
64424,Zuberoa,Urdiñarbe,Ordiarp,529,bai,,,,531
64425,Nafarroa Beherea,Oragarre,Orègue,474,,,,,484
64429,Nafarroa Beherea,Ostankoa,Orsanco,99,,,,,100
64432,Zuberoa,Ozaze-Zühara,Ossas-Suhare,94,bai,,,,95
64435,Zuberoa,Ozaraine-Erribareitia,Osserain-Rivareyte,219,,,,,214
64436,Nafarroa Beherea,Orzaize,Ossès,878,,,,,895
64437,Nafarroa Beherea,Izura-Asme,Ostabat-Asme,204,bai,,,,201
64441,Zuberoa,Pagola,Pagolle,279,,,,,284
64468,Zuberoa,Arrokiaga,Roquiague,117,,,,,115
64475,Zuberoa,Urdatx/ Santa-Grazi,Sainte-Engrâce,208,,,,,211
64476,Nafarroa Beherea,Donostiri,Saint-Esteben,450,bai,,,,475
64477,Nafarroa Beherea,Baigorri,Saint-Étienne-de-Baïgorry,1.601,bai,,,,1.619
64483,Lapurdi,Donibane Lohizune,Saint-Jean-de-Luz,12.994,bai,,,,12.967
64484,Nafarroa Beherea,Donazaharre,Saint-Jean-le-Vieux,864,,,,,862
64485,Nafarroa Beherea,Donibane-Garazi,Saint-Jean-Pied-de-Port,1.486,,,,,1.527
64487,Nafarroa Beherea,Donaixti-Ibarre,Saint-Just-Ibarre,236,,,,,233
64489,Nafarroa Beherea,Donamartiri,Saint-Martin-d'Arberoue,329,,,,,325
64490,Nafarroa Beherea,Arrosa,Saint-Martin-d'Arrossa,505,bai,,,,523
64492,Nafarroa Beherea,Eiheralarre,Saint-Michel,269,bai,,,,276
64493,Nafarroa Beherea,Donapaleu,Saint-Palais,1.856,,,,,1.854
64495,Lapurdi,Senpere,Saint-Pée-sur-Nivelle,5.954,bai,,,,6.006
64496,Lapurdi,Hiriburu,Saint-Pierre-d'Irube,4.605,bai,,,,4.661
64502,Nafarroa Beherea,Samatze,Sames,801,,,,,687
64504,Lapurdi,Sara,Sare,2.535,bai,,,,2.565
64509,Zuberoa,Zalgize-Doneztebe,Sauguis-Saint-Étienne,160,bai,,,,158
64527,Lapurdi,Zuraide,Souraïde,1.293,bai,,,,1.351
64528,Nafarroa Beherea,Suhuskune,Suhescun,180,bai,,,,173
64533,Zuberoa,Atharratze-Sorholüze,Tardets-Sorholus,606,,,,,606
64537,Zuberoa,Iruri,Trois-Villes,141,bai,,,,142
64538,Nafarroa Beherea,Uharte-Garazi,Uhart-Cize,731,,,,,760
64539,Nafarroa Beherea,Uharte-Hiri,Uhart-Mixe,226,,,,,220
64540,Lapurdi,Urketa,Urcuit,2.326,,,,,2.344
64543,Nafarroa Beherea,Urepele,Urepel,316,bai,,,,305
64545,Lapurdi,Urruña,Urrugne,9.218,,,,,9.216
64546,Lapurdi,Ahurti,Urt,2.220,,,,,2.218
64547,Lapurdi,Ustaritze,Ustaritz,6.294,bai,,,,6.362
64558,Lapurdi,Milafranga,Villefranque,2.370,,,,,2.484
64559,Zuberoa,Bildoze-Onizepea,Viodos-Abense-de-Bas,759,,,,,748
